theme,event_count,avg_confidence,avg_volume,total_volume,min_confidence,max_confidence
us_elections,2428,0.9015,5014345.8005,12174831603.5344,0.85,0.95
crypto_digital,1398,0.9469,1685139.3412,2355824798.9588,0.85,0.95
us_economic,574,0.8699,349364.9968,200535508.1832,0.85,0.95
middle_east,498,0.9257,2525385.9315,1257642193.9101,0.85,0.95
ai_technology,357,0.9377,450653.3783,160883256.044,0.85,0.95
legal_regulatory,299,0.8817,2325783.5491,695409281.1715,0.85,0.95
fed_monetary_policy,274,0.9466,11868039.9788,3251842954.1916,0.85,0.98
russia_ukraine,228,0.9298,1436743.9111,327577611.7228,0.85,0.95
climate_environment,210,0.9367,200494.5763,42103861.0251,0.85,0.95
energy_commodities,147,0.9412,208885.3197,30706141.9971,0.85,0.95
europe_politics,141,0.9408,1726623.5532,243453921.005,0.85,0.95
china_us,112,0.879,2698624.3171,302245923.5156,0.6,0.95
space_frontier,81,0.9438,162424.8365,13156411.7556,0.85,0.95
pandemic_health,22,0.9455,674806.0159,14845732.3488,0.85,0.95
